"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Al Montoya","13-14","WPG","G",28,1540.9,57.68,738.24,1005.46,61.86,92.19,94.26,93.85,0.42,5.8,4.18
"Alex Stalock","13-14","S.J","G",24,1232.95,36.95,560.46,760.7,43.52,93.41,95.14,94.28,0.86,11.25,6.57
"Anders Lindback","13-14","T.B","G",23,1302.32,62.34,582.78,858.94,51.69,89.3,92.74,93.98,-1.24,-12.23,-10.65
"Anders Nilsson","13-14","NYI","G",19,1101.17,57.11,552.47,802.94,56.64,89.66,92.89,92.95,-0.06,-9.6,-0.47
"Anton Khudobin","13-14","CAR","G",36,2084.3,80.15,1072,1540.58,96.14,92.52,94.8,93.76,1.04,12.03,15.99
"Antti Niemi","13-14","S.J","G",64,3740.28,146.6,1658.6,2364.13,137.8,91.16,93.8,94.17,-0.37,-3.98,-8.8
"Antti Raanta","13-14","CHI","G",25,1396.67,60.8,590.51,815.85,54.03,89.7,92.55,93.38,-0.83,-10.02,-6.77
"Ben Bishop","13-14","T.B","G",63,3586.35,131.99,1738.1,2443.48,144.05,92.41,94.6,94.1,0.49,17.47,12.06
"Ben Scrivens","13-14","EDM","G",21,1234.88,63.7,762.51,1082.6,69.43,91.65,94.12,93.59,0.53,1.87,5.73
"Ben Scrivens","13-14","L.A","G",19,975.23,31.44,458.45,646.41,40.16,93.14,95.14,93.79,1.35,7.98,8.72
"Braden Holtby","13-14","WSH","G",48,2656.33,126.15,1480.65,2020.28,123.13,91.48,93.76,93.91,-0.15,1.17,-3.02
"Brian Elliott","13-14","STL","G",31,1624.32,52.68,668.75,969.47,56.89,92.12,94.57,94.13,0.43,4.82,4.21
"Calvin Heeter","13-14","PHI","G",1,63.98,5.35,41.77,50.42,3.18,87.19,89.39,93.69,-4.3,-1.76,-2.17
"Cam Talbot","13-14","NYR","G",21,1210.67,32.69,543.64,758.92,46.66,93.99,95.69,93.85,1.84,14.06,13.97
"Cam Ward","13-14","CAR","G",30,1645.27,84.02,840.99,1174.06,75.78,90.01,92.84,93.55,-0.7,-11.71,-8.24
"Carey Price","13-14","MTL","G",59,3464.37,133.84,1828.75,2503.83,157.95,92.68,94.65,93.69,0.96,23.41,24.11
"Carter Hutton","13-14","NSH","G",40,2085.28,90.37,997.61,1376.79,78.17,90.94,93.44,94.32,-0.89,-4.59,-12.2
"Chad Johnson","13-14","BOS","G",27,1510.82,51.19,683.61,932.97,59.82,92.51,94.51,93.59,0.93,7.6,8.63
"Corey Crawford","13-14","CHI","G",59,3395.02,128.06,1524.54,2035.95,125.51,91.6,93.71,93.84,-0.13,3.03,-2.55
"Cory Schneider","13-14","N.J","G",45,2679.9,86.45,1098.47,1489.76,94.96,92.13,94.2,93.63,0.57,8,8.51
"Craig Anderson","13-14","OTT","G",53,2999.73,151.24,1681.47,2291.06,143.3,91.01,93.4,93.75,-0.35,-6.65,-7.94
